Contig Number	S. lycopersicum cv Heinz (2.40)	S. lycopersicum cv Heinz (aplg ill 250+300+500+2k+3k+4k+5k)	S. habrochaites (aplg ill 170+500+2k)	S. pennellii (aplg ill 170+500+2k)	S. arcanum (aplg ill 170+500+2k)
"1"	42121211	963611	990615	627531	683045
"2"	75403391	1884483	1886056	1181977	1293092
"3"	108390988	2779487	2768770	1710534	1902564
"4"	139513298	3665835	3586711	2210208	2506078
"5"	167736785	4488252	4324827	2685473	3090379
"6"	192901360	5280876	5061378	3147991	3664058
"7"	216192674	6065918	5754705	3608370	4228111
"8"	238615330	6824164	6442396	4064922	4777295
"9"	259260766	7548233	7094961	4513222	5313885
"10"	279720814	8261093	7741736	4957991	5835338
"11"	298962695	8928732	8381521	5379906	6351928
"12"	317569804	9594178	9020910	5800394	6841921
"13"	336164458	10249347	9629727	6219896	7331736
"14"	353760162	10893651	10230675	6636744	7820702
"15"	371161981	11524243	10815158	7048201	8308961
"16"	388113592	12124142	11387129	7458251	8797020
"17"	404581388	12710751	11950952	7866820	9273583
"18"	420673337	13274641	12514347	8272809	9744223
"19"	435849782	13831365	13077432	8654793	10213840
"20"	450491883	14387065	13636028	9032333	10669993
"21"	464878631	14935936	14187500	9407227	11123821
"22"	476609626	15482783	14728522	9775306	11575670
"23"	488202929	16028007	15268656	10141582	12025902
"24"	498498777	16562974	15798901	10501308	12475588
"25"	508133614	17093967	16311495	10856104	12910508
"26"	517344634	17617549	16820141	11210056	13336164
"27"	526136492	18141047	17325715	11556933	13760240
"28"	534737719	18636824	17821405	11899161	14182331
"29"	543155827	19122631	18315399	12241293	14600571
"30"	551379797	19588631	18808648	12582540	15017971
"31"	559357188	20052016	19300368	12923102	15426760
"32"	567305591	20508875	19789427	13260837	15832775
"33"	575252345	20963841	20277478	13596183	16237638
"34"	582780944	21418583	20763757	13931483	16638911
"35"	589804386	21873182	21244887	14264845	17037958
"36"	596794946	22321623	21725620	14596376	17436471
"37"	603341787	22765683	22199963	14925707	17834712
"38"	609876046	23208269	22666677	15254270	18231994
"39"	616399490	23649247	23133030	15582547	18626589
"40"	622725535	24085142	23592136	15908235	19019914
"41"	629019721	24520309	24050062	16233876	19399481
"42"	635180992	24951740	24499286	16559517	19778720
"43"	641243342	25380492	24944593	16884073	20153961
"44"	647014619	25805722	25380623	17208244	20525111
"45"	652764276	26230665	25808003	17530574	20896260
"46"	658482039	26649347	26233042	17849809	21267090
"47"	664004404	27067392	26656907	18165283	21637763
"48"	669350126	27484582	27079727	18479815	22008068
"49"	674530619	27897953	27500549	18791687	22374966
"50"	679442679	28310404	27918626	19102432	22740601
"51"	683748052	28722245	28336161	19411948	23102834
"52"	687864481	29132241	28751101	19719939	23463143
"53"	691895279	29538627	29165586	20027212	23823141
"54"	695827221	29943864	29578035	20334459	24182215
"55"	699221172	30347750	29989567	20640760	24540934
"56"	702323797	30745628	30399526	20946252	24897830
"57"	705364925	31138160	30808744	21251502	25253723
"58"	708327703	31529752	31215952	21555927	25609475
"59"	711053544	31920404	31618075	21858239	25964452
"60"	713775545	32309941	32019678	22160021	26319092
"61"	716409572	32698288	32420689	22460995	26673662
"62"	718970661	33081930	32821671	22761471	27027941
"63"	721518063	33465392	33222051	23061734	27377942
"64"	724029552	33848427	33622420	23361985	27724687
"65"	726537286	34227442	34020832	23661957	28071315
"66"	729017021	34605857	34418130	23961874	28417668
"67"	731422562	34983221	34812740	24261706	28763762
"68"	733614511	35358194	35207217	24560617	29109751
"69"	735718471	35732821	35600480	24858516	29454122
"70"	737816637	36097032	35991897	25155991	29797710
"71"	739841390	36461171	36383249	25452453	30141218
"72"	741814238	36824239	36774104	25748053	30481324
"73"	743779923	37182378	37162535	26042205	30819126
"74"	745583326	37538365	37550672	26334592	31154315
"75"	747305923	37889045	37937108	26626825	31488759
"76"	749003137	38239262	38320263	26917464	31822569
"77"	750610636	38587531	38702612	27207458	32156012
"78"	752189971	38934505	39083643	27495203	32489323
"79"	753679332	39280231	39463753	27782894	32822095
"80"	755087959	39625191	39843251	28070349	33152876
"81"	756382047	39969848	40220907	28357054	33482721
"82"	757669774	40312365	40598152	28643572	33812239
"83"	758953508	40653755	40973908	28929061	34138565
"84"	760156971	40994697	41349352	29213745	34464770
"85"	761360229	41334840	41721688	29497479	34789638
"86"	762467081	41673168	42093000	29779317	35113920
"87"	763285866	42010604	42463930	30061012	35438033
"88"	764083628	42347337	42834403	30342704	35761949
"89"	764774517	42684053	43203134	30623512	36084874
"90"	765380184	43019800	43571347	30904003	36405969
"91"	765941387	43355288	43936348	31184390	36725603
"92"	766311493	43689468	44301091	31464154	37044060
"93"	766662098	44021850	44662893	31742771	37361786
"94"	766999280	44353832	45024622	32021271	37679424
"95"	767287967	44685480	45386230	32299580	37996234
"96"	767573858	45014698	45747816	32577238	38312477
"97"	767777000	45343719	46108558	32853406	38626354
"98"	767977883	45671960	46465951	33129477	38939260
"99"	768159468	46000111	46821304	33403616	39249936
"100"	768335793	46326788	47174927	33677253	39560254
"101"	768479055	46652224	47526162	33950294	39869638
"102"	768587197	46977606	47876170	34223037	40178802
"103"	768690370	47302125	48225528	34494730	40487317
"104"	768791667	47626183	48574692	34765714	40794564
"105"	768890387	47948220	48921854	35035810	41101634
"106"	768982956	48270154	49267203	35305680	41407701
"107"	769072481	48591283	49612024	35574780	41713319
"108"	769161132	48911826	49956147	35843546	42017812
"109"	769241041	49232261	50299990	36112244	42320780
"110"	769319042	49552365	50643644	36380625	42622246
"111"	769393534	49870555	50986157	36648515	42922435
"112"	769467922	50188157	51327971	36916187	43222268
"113"	769537160	50504987	51667551	37183845	43521148
"114"	769605077	50821783	52006419	37451497	43819121
"115"	769667324	51138006	52345052	37718311	44115894
"116"	769727989	51453878	52683445	37985077	44411926
"117"	769786334	51769429	53020241	38251541	44706642
"118"	769843400	52084951	53356809	38517905	45000872
"119"	769897461	52398349	53692129	38784142	45293830
"120"	769950615	52711452	54027230	39049585	45586170
"121"	770000342	53023901	54361595	39314967	45878021
"122"	770049599	53335916	54695943	39577430	46168211
"123"	770098324	53645755	55030288	39839405	46457770
"124"	770145231	53954564	55362550	40101222	46747106
"125"	770189053	54263242	55694537	40362412	47035096
"126"	770230486	54570268	56026395	40623244	47322585
"127"	770270729	54875717	56358119	40884067	47609869
"128"	770307133	55180549	56689735	41144508	47897142
"129"	770343335	55484218	57018160	41404758	48183754
"130"	770375419	55787474	57346445	41664704	48468811
"131"	770405774	56090420	57674551	41923814	48752998
"132"	770435659	56392086	58002246	42182700	49037133
"133"	770465317	56693492	58329688	42441070	49321199
"134"	770494897	56993631	58655148	42698326	49604985
"135"	770523359	57293088	58979854	42952852	49887952
"136"	770551554	57591707	59304381	43206486	50170570
"137"	770579343	57889895	59625359	43459891	50451793
"138"	770606859	58186843	59944036	43712485	50732818
"139"	770633899	58482799	60261613	43964869	51013377
"140"	770660796	58778592	60578240	44216987	51293335
"141"	770687598	59073934	60894836	44468985	51573038
"142"	770713861	59367852	61211179	44720282	51852694
"143"	770739641	59661590	61526128	44970539	52131842
"144"	770765250	59954006	61840752	45220473	52408215
"145"	770790288	60245880	62155262	45470240	52684171
"146"	770814452	60537342	62469163	45720003	52959984
"147"	770838176	60828475	62782982	45969443	53235643
"148"	770861653	61119548	63096338	46218104	53511035
"149"	770884322	61407173	63409497	46466287	53785745
"150"	770906561	61694587	63722462	46714457	54060302
"151"	770928766	61980967	64035387	46961838	54334740
"152"	770950024	62265937	64348292	47208826	54608919
"153"	770970442	62548798	64661024	47455466	54882458
"154"	770990815	62831441	64972675	47702079	55155898
"155"	771010886	63113292	65284246	47947516	55429005
"156"	771030900	63393822	65595567	48192946	55701845
"157"	771049706	63674099	65906790	48437887	55974597
"158"	771068106	63954251	66215900	48681876	56246881
"159"	771086222	64233806	66524753	48924840	56518858
"160"	771104019	64512692	66831907	49167710	56790633
"161"	771121651	64790935	67139056	49410483	57061873
"162"	771139277	65068706	67446123	49653206	57332469
"163"	771156675	65344819	67752688	49895309	57602690
"164"	771173980	65620523	68057512	50136901	57872770
"165"	771191027	65895899	68362010	50378440	58142747
"166"	771207976	66171248	68665616	50619784	58410837
"167"	771224659	66445583	68968552	50861050	58678555
"168"	771241159	66719651	69271391	51102298	58946241
"169"	771257546	66993685	69573795	51343035	59213712
"170"	771273514	67266580	69875506	51582335	59480785
"171"	771289434	67538759	70176840	51821408	59747653
"172"	771305149	67809109	70477798	52060080	60014138
"173"	771320187	68078690	70777817	52298491	60278710
"174"	771335066	68347923	71077617	52536690	60543257
"175"	771349570	68615931	71377254	52774206	60807472
"176"	771363837	68883877	71676579	53011378	61071048
"177"	771378078	69151659	71975058	53248224	61334479
"178"	771392302	69419431	72273382	53484818	61597752
"179"	771406515	69687131	72571596	53721141	61860947
"180"	771420703	69953377	72869048	53957457	62123646
"181"	771434883	70219012	73166468	54193350	62386327
"182"	771448991	70484589	73463808	54428743	62648982
"183"	771462812	70750024	73761002	54664092	62911563
"184"	771476245	71014060	74057584	54899422	63173267
"185"	771489466	71278046	74354062	55133328	63434562
"186"	771502604	71541673	74650148	55366888	63694301
"187"	771515668	71805194	74945816	55600371	63953918
"188"	771528639	72068305	75240591	55833746	64212828
"189"	771541436	72331355	75534451	56066931	64471367
"190"	771554065	72593893	75826766	56299837	64728903
"191"	771566560	72855993	76118226	56532650	64986105
"192"	771578995	73117275	76409374	56765381	65242488
"193"	771591404	73378492	76699757	56997816	65498600
"194"	771603773	73637352	76990094	57229709	65754217
"195"	771616117	73896023	77280341	57461302	66008341
"196"	771628359	74154692	77570494	57692228	66261868
"197"	771640402	74412498	77859791	57922770	66515075
"198"	771652414	74669978	78148241	58153298	66768276
"199"	771664256	74926308	78436428	58383687	67020405
"200"	771675981	75182040	78724334	58613803	67272251
"201"	771687574	75437255	79011862	58843915	67524040
"202"	771699143	75691870	79298800	59073864	67775756
"203"	771710632	75946334	79585651	59303672	68027176
"204"	771721926	76199614	79872344	59533164	68277577
"205"	771732831	76452663	80158751	59762641	68527041
"206"	771743589	76705058	80444821	59992002	68776120
"207"	771754322	76957325	80730756	60220858	69024647
"208"	771764993	77208169	81015658	60449357	69272426
"209"	771775581	77458632	81300485	60677353	69520126
"210"	771786143	77709038	81585246	60905155	69767641
"211"	771796703	77959398	81869413	61132935	70015074
"212"	771807141	78209591	82152876	61360526	70262464
"213"	771817387	78459118	82436085	61587772	70509812
"214"	771827289	78708254	82718748	61814831	70757096
"215"	771837131	78957365	83001288	62041508	71004184
"216"	771846718	79205770	83283673	62268092	71251245
"217"	771856294	79454075	83565982	62493361	71497448
"218"	771865829	79701914	83847939	62718479	71742481
"219"	771875337	79949611	84129696	62943137	71986669
"220"	771884799	80197121	84411218	63167694	72230681
"221"	771894232	80444475	84692604	63391418	72474590
"222"	771903642	80691615	84973617	63613923	72718305
"223"	771912894	80937661	85252684	63835868	72962012
"224"	771922049	81183333	85531511	64057400	73205244
"225"	771931127	81428827	85810254	64278322	73448289
"226"	771940189	81673446	86088634	64499160	73690937
"227"	771949193	81917394	86366191	64719693	73933375
"228"	771958034	82161161	86643145	64940022	74175701
"229"	771966859	82404893	86919575	65160333	74417937
"230"	771975519	82648591	87195657	65380552	74659360
"231"	771984070	82892189	87471712	65600488	74900365
"232"	771992611	83135726	87747416	65820414	75141321
"233"	772001138	83378719	88022067	66040259	75382162
"234"	772009604	83621558	88295985	66259719	75622688
"235"	772017904	83864028	88569350	66479171	75863206
"236"	772026128	84106267	88841978	66698195	76103575
"237"	772034126	84348106	89113902	66917121	76343853
"238"	772042097	84589882	89385423	67135856	76583809
"239"	772050061	84831199	89656817	67354452	76823570
"240"	772057879	85072509	89927313	67572816	77063133
"241"	772065612	85313462	90197001	67790845	77302672
"242"	772073324	85553131	90466307	68008582	77542136
"243"	772081022	85792345	90735233	68226205	77781137
"244"	772088708	86031358	91004143	68443744	78019984
"245"	772096385	86270320	91272718	68661116	78258119
"246"	772103995	86509244	91540590	68877815	78496145
"247"	772111579	86747648	91808296	69093471	78733717
"248"	772119095	86985863	92076000	69308557	78971202
"249"	772126591	87223821	92343564	69523512	79207870
"250"	772134084	87461751	92610584	69738042	79444315
"251"	772141574	87699138	92876774	69952222	79680556
"252"	772149023	87935600	93142203	70166176	79916716
"253"	772156470	88171882	93407607	70380102	80152410
"254"	772163898	88407393	93672804	70593877	80388029
"255"	772171271	88642774	93937735	70807612	80623599
"256"	772178633	88877722	94202496	71021117	80858933
"257"	772185991	89112592	94466931	71234541	81093674
"258"	772193343	89347426	94731164	71447960	81328308
"259"	772200606	89582135	94994540	71661357	81562463
"260"	772207856	89816368	95257177	71874751	81796546
"261"	772215097	90050568	95519767	72088139	82030483
"262"	772222323	90284473	95781510	72301370	82263546
"263"	772229486	90518284	96042907	72514534	82496525
"264"	772236616	90751978	96304160	72727651	82728845
"265"	772243745	90984575	96565103	72940381	82961101
"266"	772250809	91216208	96825893	73152901	83193187
"267"	772257865	91447542	97085978	73364844	83425186
"268"	772264921	91678320	97344953	73575530	83657048
"269"	772271928	91908622	97602844	73786213	83888522
"270"	772278894	92138495	97860608	73996865	84119305
"271"	772285825	92368042	98118255	74207156	84350013
"272"	772292710	92597547	98375116	74417232	84580476
"273"	772299587	92826944	98630793	74626974	84809776
"274"	772306414	93055851	98886109	74836205	85038774
"275"	772313229	93284434	99140999	75045363	85267699
"276"	772320035	93512919	99395323	75254506	85496624
"277"	772326786	93740888	99649017	75463383	85725544
"278"	772333500	93967769	99902490	75672251	85954149
"279"	772340186	94194357	100155492	75880972	86182619
"280"	772346811	94420630	100407811	76089499	86410438
"281"	772353414	94646630	100658929	76297813	86638121
"282"	772360016	94872542	100910016	76505774	86865732
"283"	772366576	95097886	101160918	76713720	87093242
"284"	772373125	95323226	101411817	76921436	87320562
"285"	772379662	95547919	101662697	77128579	87547752
"286"	772386183	95772583	101913278	77335577	87773839
"287"	772392665	95996767	102163647	77541356	87999063
"288"	772399114	96220583	102413399	77746899	88223808
"289"	772405559	96444185	102663117	77951962	88448500
"290"	772411907	96667164	102912789	78156758	88673123
"291"	772418254	96889228	103162281	78361405	88897649
"292"	772424583	97110785	103411643	78566017	89122052
"293"	772430901	97332309	103660868	78770113	89346077
"294"	772437206	97553681	103909656	78974186	89569955
"295"	772443510	97774151	104158424	79178182	89793263
"296"	772449779	97994579	104407145	79381977	90016153
"297"	772456030	98214908	104655321	79585444	90238523
"298"	772462275	98434926	104902643	79788824	90460692
"299"	772468506	98654924	105149763	79991766	90682530
"300"	772474722	98874797	105396735	80194643	90903944
"301"	772480932	99094645	105643502	80397424	91125153
"302"	772487122	99314311	105890183	80600144	91346314
"303"	772493288	99533726	106136630	80802815	91566807
"304"	772499441	99753096	106382712	81005407	91787216
"305"	772505575	99972407	106628648	81207562	92007497
"306"	772511695	100191556	106874170	81409691	92227514
"307"	772517814	100410208	107119581	81611517	92447055
"308"	772523928	100628715	107364828	81813293	92666141
"309"	772530034	100847170	107609850	82014945	92885131
"310"	772536138	101065567	107854562	82216573	93103786
"311"	772542239	101283783	108099111	82418173	93322375
"312"	772548333	101501954	108343615	82619769	93540927
"313"	772554392	101719885	108587795	82821279	93759316
"314"	772560421	101937769	108831933	83021491	93977482
"315"	772566403	102155438	109075195	83221341	94195623
"316"	772572379	102372463	109318444	83421140	94413616
"317"	772578343	102589023	109561471	83620700	94631604
"318"	772584306	102805436	109804439	83820034	94849188
"319"	772590261	103021283	110047382	84018739	95066679
"320"	772596214	103237058	110290314	84217313	95284087
"321"	772602162	103452594	110533025	84415703	95501129
"322"	772608107	103668071	110775676	84614022	95717988
"323"	772614041	103883385	111018289	84812309	95934655
"324"	772619966	104098338	111260352	85010409	96151120
"325"	772625876	104313125	111502208	85208396	96367316
"326"	772631779	104527816	111743665	85406372	96583073
"327"	772637679	104742470	111984803	85604060	96798795
"328"	772643528	104957120	112225919	85801577	97014513
"329"	772649372	105171370	112466942	85998370	97229414
"330"	772655213	105384646	112707770	86195079	97444286
"331"	772661047	105597890	112948576	86391669	97659152
"332"	772666851	105810951	113189275	86588202	97873668
"333"	772672623	106023612	113429923	86784557	98088032
"334"	772678393	106236118	113669253	86980857	98301977
"335"	772684154	106448368	113908242	87176843	98515836
"336"	772689908	106659229	114147214	87372197	98729645
"337"	772695648	106869528	114386095	87567519	98943206
"338"	772701385	107079755	114624648	87762803	99155975
"339"	772707108	107289690	114863136	87957369	99368536
"340"	772712820	107499498	115101234	88151565	99580965
"341"	772718526	107709027	115339256	88345600	99793263
"342"	772724219	107918476	115576758	88539584	100004592
"343"	772729898	108127868	115812699	88732932	100215843
"344"	772735559	108337102	116048150	88926049	100426948
"345"	772741151	108546334	116283117	89119114	100638040
"346"	772746742	108755547	116518073	89311737	100848844
"347"	772752327	108964557	116752723	89504321	101059554
"348"	772757886	109173466	116987079	89696769	101270215
"349"	772763440	109382213	117220877	89888880	101480701
"350"	772768990	109590845	117454551	90080974	101691166
"351"	772774538	109799464	117688145	90273030	101901628
"352"	772780070	110007844	117921621	90465004	102111974
"353"	772785601	110216077	118154088	90656729	102321830
"354"	772791129	110424278	118386198	90848431	102531634
"355"	772796656	110632229	118618118	91040032	102741358
"356"	772802182	110839905	118850002	91231527	102951014
"357"	772807700	111047525	119081771	91422845	103160650
"358"	772813214	111255019	119313454	91614077	103370146
"359"	772818721	111462381	119544464	91805298	103579448
"360"	772824223	111669507	119775191	91996456	103788348
"361"	772829717	111876589	120005887	92187574	103997240
"362"	772835200	112083236	120236252	92378602	104205994
"363"	772840673	112289873	120466604	92569591	104414311
"364"	772846140	112495865	120696638	92760532	104622574
"365"	772851600	112701570	120926538	92951461	104830787
"366"	772857046	112907187	121156208	93142159	105038893
"367"	772862491	113112667	121385765	93332768	105246947
"368"	772867933	113318093	121615280	93523109	105454852
"369"	772873372	113523430	121844787	93713238	105662309
"370"	772878780	113728693	122074262	93903147	105869166
"371"	772884176	113933739	122303365	94092793	106075673
"372"	772889565	114138619	122532414	94282215	106282032
"373"	772894952	114343182	122761267	94471594	106488261
"374"	772900332	114547456	122989506	94660870	106694006
"375"	772905701	114751346	123217695	94850096	106899443
"376"	772911066	114954959	123445872	95039056	107104715
"377"	772916431	115158530	123673532	95227747	107309910
"378"	772921789	115361989	123901099	95416436	107515102
"379"	772927147	115564966	124127265	95605079	107720253
"380"	772932504	115767847	124353144	95793499	107925162
"381"	772937861	115970504	124578979	95981911	108129962
"382"	772943218	116173101	124804740	96170306	108334329
"383"	772948574	116375590	125030171	96358661	108538375
"384"	772953912	116578032	125255442	96546633	108742259
"385"	772959245	116780079	125480640	96734451	108946087
"386"	772964573	116981814	125705723	96922262	109149761
"387"	772969901	117183179	125930750	97109965	109353274
"388"	772975211	117383971	126155704	97297515	109556693
"389"	772980521	117584467	126380600	97484835	109760094
"390"	772985826	117784913	126605462	97671156	109963396
"391"	772991131	117985158	126830322	97857293	110166567
"392"	772996434	118185402	127054879	98043131	110369489
"393"	773001728	118385138	127279253	98228820	110572318
"394"	773007014	118584874	127503544	98414344	110774797
"395"	773012294	118784494	127727566	98599818	110977255
"396"	773017573	118983971	127951489	98785026	111179191
"397"	773022847	119183433	128175013	98970145	111380963
"398"	773028116	119382557	128398288	99155051	111582655
"399"	773033384	119581406	128621456	99339871	111784026
"400"	773038640	119779955	128844477	99524442	111985174
"401"	773043891	119978455	129067016	99708970	112186300
"402"	773049142	120176484	129289414	99893167	112387373
"403"	773054389	120374500	129511490	100077328	112588404
"404"	773059626	120572371	129733178	100261184	112789384
"405"	773064863	120770101	129954817	100444999	112990161
"406"	773070087	120967759	130176298	100628686	113190739
"407"	773075310	121165197	130397772	100812249	113391310
"408"	773080521	121362444	130618898	100995738	113591523
"409"	773085726	121559677	130839960	101179158	113791610
"410"	773090928	121756656	131060717	101362463	113991625
"411"	773096129	121953440	131280959	101545712	114191548
"412"	773101315	122149800	131501190	101728898	114391431
"413"	773106499	122345973	131720908	101911863	114591306
"414"	773111670	122541969	131940373	102094813	114791159
"415"	773116835	122737639	132159671	102277643	114990643
"416"	773121996	122933295	132378853	102460003	115189704
"417"	773127157	123128917	132597801	102642236	115388758
"418"	773132307	123324149	132816680	102824447	115587811
"419"	773137455	123518481	133035493	103006630	115786801
"420"	773142598	123712588	133253588	103188724	115985751
"421"	773147739	123906588	133471373	103370754	116184695
"422"	773152879	124100480	133688844	103552126	116383410
"423"	773158015	124294280	133906253	103733343	116581975
"424"	773163150	124488079	134123545	103914548	116780413
"425"	773168276	124681697	134340803	104095512	116978847
"426"	773173396	124875188	134557909	104276384	117177229
"427"	773178515	125068678	134774995	104457230	117375121
"428"	773183630	125262091	134991912	104637673	117572784
"429"	773188740	125455392	135208828	104817919	117770169
"430"	773193847	125647999	135425586	104998132	117967136
"431"	773198953	125840486	135642328	105178152	118164062
"432"	773204054	126032683	135859060	105357835	118360650
"433"	773209154	126224626	136075356	105537429	118557161
"434"	773214253	126415533	136291609	105716665	118753365
"435"	773219335	126606215	136507654	105895881	118949535
"436"	773224412	126796756	136723554	106074726	119145683
"437"	773229477	126987078	136939096	106253478	119341740
"438"	773234539	127177099	137154221	106431996	119537347
"439"	773239586	127366938	137369299	106610478	119732813
"440"	773244632	127556622	137584312	106788872	119928270
"441"	773249674	127745997	137799107	106967107	120123665
"442"	773254706	127935287	138013892	107144832	120318916
"443"	773259736	128124262	138228519	107322546	120514056
"444"	773264763	128313206	138442843	107499994	120708673
"445"	773269783	128502098	138656415	107677418	120903137
"446"	773274800	128690941	138869881	107854742	121097380
"447"	773279815	128879772	139083039	108032047	121291561
"448"	773284829	129068553	139295123	108209316	121485635
"449"	773289839	129257262	139507063	108386136	121679697
"450"	773294842	129445718	139718946	108562797	121873373
"451"	773299841	129634167	139930792	108739378	122066500
"452"	773304831	129822232	140142607	108915901	122259621
"453"	773309806	130009838	140354363	109092414	122452531
"454"	773314778	130197182	140565989	109268895	122645208
"455"	773319744	130384372	140777545	109444968	122837868
"456"	773324694	130571501	140988837	109620898	123030468
"457"	773329643	130758509	141199054	109795785	123222861
"458"	773334590	130945462	141409037	109970579	123415085
"459"	773339532	131132068	141618412	110145152	123606976
"460"	773344463	131318541	141827689	110319342	123798768
"461"	773349392	131504795	142036897	110493268	123990519
"462"	773354318	131690887	142245902	110666999	124181997
"463"	773359235	131876743	142454843	110840700	124373471
"464"	773364147	132062560	142663724	111014037	124564747
"465"	773369058	132248250	142872519	111187357	124755632
"466"	773373954	132433914	143081207	111360574	124946479
"467"	773378847	132619490	143289843	111533679	125137271
"468"	773383740	132805024	143498152	111706751	125327904
"469"	773388628	132990527	143706289	111879679	125518494
"470"	773393509	133175918	143913944	112052510	125708784
"471"	773398385	133361260	144121354	112225234	125899059
"472"	773403256	133546497	144328542	112397737	126089074
"473"	773408121	133731726	144535453	112570132	126279069
"474"	773412978	133916831	144742250	112742511	126469024
"475"	773417833	134101853	144949042	112914887	126658844
"476"	773422687	134286803	145155778	113087237	126848364
"477"	773427539	134471741	145362332	113259483	127037678
"478"	773432389	134656373	145568805	113431251	127226895
"479"	773437238	134840987	145775184	113602975	127415949
"480"	773442073	135025526	145981139	113774653	127604964
"481"	773446904	135210034	146187063	113946180	127793954
"482"	773451720	135394290	146392935	114117299	127982923
"483"	773456522	135578179	146598312	114288405	128171604
"484"	773461321	135762012	146803629	114459411	128360171
"485"	773466118	135945799	147008861	114630138	128548591
"486"	773470913	136129550	147213878	114800714	128736994
"487"	773475707	136313275	147418796	114971063	128925257
"488"	773480501	136496983	147623626	115141333	129112955
"489"	773485295	136680678	147828261	115311525	129300636
"490"	773490087	136863983	148032879	115481662	129488277
"491"	773494874	137047285	148236466	115651760	129675893
"492"	773499651	137230571	148439960	115821715	129863490
"493"	773504425	137413386	148643403	115991387	130051071
"494"	773509197	137596161	148846778	116160485	130238636
"495"	773513964	137778910	149049582	116329522	130425911
"496"	773518727	137961418	149252341	116498558	130613084
"497"	773523487	138143690	149454945	116667521	130800122
"498"	773528237	138325895	149657319	116836366	130986795
"499"	773532986	138508045	149859554	117005004	131173273
"500"	773537733	138689858	150061402	117173641	131359723
"501"	773542476	138871248	150263088	117342127	131546173
"502"	773547217	139052619	150464624	117510540	131732551
"503"	773551958	139233393	150665729	117678914	131918689
"504"	773556698	139413951	150866670	117847266	132104592
"505"	773561436	139593765	151067522	118015489	132290494
"506"	773566172	139773412	151268350	118183672	132476226
"507"	773570905	139953044	151469100	118351775	132661729
"508"	773575637	140132589	151669635	118519866	132847094
"509"	773580369	140311939	151870064	118687737	133032388
"510"	773585101	140491036	152070244	118855592	133217564
"511"	773589821	140669907	152270280	119023360	133402720
"512"	773594540	140848617	152470195	119190771	133587544
"513"	773599258	141027218	152669859	119358126	133772066
"514"	773603975	141205801	152869291	119525140	133956565
"515"	773608686	141384227	153068663	119692040	134140935
"516"	773613391	141562617	153268031	119858664	134325261
"517"	773618083	141740951	153467236	120025181	134509563
"518"	773622771	141918964	153666432	120191689	134693787
"519"	773627449	142096909	153865605	120358129	134877919
"520"	773632123	142274307	154064553	120524333	135061650
"521"	773636794	142451269	154263471	120690517	135245073
"522"	773641464	142628229	154462388	120856512	135428328
"523"	773646130	142804881	154661304	121022447	135611556
"524"	773650794	142981324	154859943	121188285	135794460
"525"	773655454	143157740	155058543	121354004	135977235
"526"	773660112	143334130	155256988	121519268	136159543
"527"	773664769	143510460	155455421	121684424	136341830
"528"	773669422	143686677	155653849	121849515	136524028
"529"	773674071	143862809	155852271	122014511	136705504
"530"	773678714	144038390	156049754	122179481	136886670
"531"	773683350	144213963	156247228	122344221	137067803
"532"	773687982	144389523	156444684	122508932	137248790
"533"	773692613	144565047	156642129	122673469	137429603
"534"	773697242	144740507	156839535	122837806	137610404
"535"	773701861	144915963	157036709	123002122	137791181
"536"	773706480	145091385	157233650	123166391	137971904
"537"	773711093	145266607	157430261	123330575	138152528
"538"	773715698	145441825	157626864	123494668	138333044
"539"	773720293	145617028	157823352	123658743	138513510
"540"	773724885	145792162	158019760	123822799	138693959
"541"	773729469	145967125	158216101	123986684	138874243
"542"	773734048	146141958	158412348	124150563	139054465
"543"	773738625	146316784	158608493	124314273	139234580
"544"	773743202	146491091	158804548	124477516	139414670
"545"	773747774	146665327	159000500	124640711	139594726
"546"	773752339	146839537	159196352	124803732	139774651
"547"	773756903	147013476	159392044	124966540	139954453
"548"	773761467	147187129	159587716	125129177	140133829
"549"	773766030	147360570	159782957	125291726	140313020
"550"	773770592	147533930	159977785	125454271	140492033
"551"	773775144	147707158	160172555	125616789	140670933
"552"	773779687	147879937	160366966	125779090	140849685
"553"	773784229	148052704	160561064	125941129	141028329
"554"	773788770	148225436	160755013	126103010	141206558
"555"	773793309	148397872	160948941	126264772	141384663
"556"	773797846	148570150	161142675	126426450	141562750
"557"	773802382	148742174	161336376	126588118	141740679
"558"	773806913	148914118	161529960	126749780	141918340
"559"	773811444	149085536	161723542	126911135	142095892
"560"	773815972	149256837	161917095	127072231	142273386
"561"	773820500	149428095	162110389	127233284	142450868
"562"	773825020	149599337	162303668	127394214	142628288
"563"	773829537	149770518	162496506	127555086	142805693
"564"	773834054	149941538	162689308	127715881	142982991
"565"	773838560	150112369	162882107	127876654	143160272
"566"	773843065	150283192	163074583	128037355	143337466
"567"	773847568	150453781	163267038	128197996	143514642
"568"	773852067	150624313	163459493	128358616	143691595
"569"	773856566	150794451	163651774	128519166	143868531
"570"	773861064	150964496	163844048	128679407	144045334
"571"	773865561	151134413	164036320	128839366	144222123
"572"	773870056	151303952	164228587	128999248	144398622
"573"	773874541	151473395	164420811	129159101	144575067
"574"	773879022	151642702	164613024	129318948	144751449
"575"	773883500	151811972	164805207	129478680	144927755
"576"	773887978	151981189	164997327	129638403	145103976
"577"	773892454	152150346	165189438	129798081	145280146
"578"	773896928	152319440	165381539	129957592	145456190
