Contig Number	S. lycopersicum cv Heinz (2.40)	S. lycopersicum cv Heinz (aplg ill 250+300+500+2k+3k+4k+5k)	S. habrochaites (aplg ill 170+500+2k)	S. pennellii (aplg ill 170+500+2k)	S. arcanum (aplg ill 170+500+2k)
"12679"	""	618187672	725214141	677591218	662028673
"12680"	""	618192699	725220085	677603349	662035560
"12681"	""	618197726	725226026	677615475	662042440
"12682"	""	618202752	725231955	677627601	662049313
"12683"	""	618207778	725237882	677639724	662056184
"12684"	""	618212801	725243804	677651845	662063054
"12685"	""	618217823	725249721	677663966	662069920
"12686"	""	618222842	725255637	677676085	662076783
"12687"	""	618227858	725261552	677688198	662083645
"12688"	""	618232874	725267467	677700311	662090502
"12689"	""	618237890	725273381	677712417	662097359
"12690"	""	618242904	725279295	677724520	662104211
"12691"	""	618247918	725285207	677736622	662111061
"12692"	""	618252929	725291118	677748724	662117909
"12693"	""	618257936	725297028	677760824	662124753
"12694"	""	618262942	725302933	677772921	662131597
"12695"	""	618267947	725308835	677785016	662138440
"12696"	""	618272947	725314736	677797110	662145282
"12697"	""	618277946	725320636	677809202	662152123
"12698"	""	618282944	725326535	677821291	662158964
"12699"	""	618287940	725332434	677833379	662165804
"12700"	""	618292935	725338332	677845465	662172642
"12701"	""	618297930	725344226	677857548	662179480
"12702"	""	618302921	725350120	677869630	662186317
"12703"	""	618307910	725356012	677881705	662193151
"12704"	""	618312899	725361904	677893779	662199984
"12705"	""	618317887	725367795	677905853	662206817
"12706"	""	618322873	725373683	677917926	662213650
"12707"	""	618327857	725379566	677929994	662220481
"12708"	""	618332839	725385448	677942061	662227311
"12709"	""	618337817	725391329	677954126	662234139
"12710"	""	618342794	725397210	677966188	662240966
"12711"	""	618347770	725403090	677978247	662247793
"12712"	""	618352744	725408968	677990305	662254618
"12713"	""	618357717	725414843	678002360	662261443
"12714"	""	618362690	725420716	678014414	662268265
"12715"	""	618367661	725426586	678026468	662275087
"12716"	""	618372632	725432455	678038521	662281908
"12717"	""	618377599	725438322	678050573	662288728
"12718"	""	618382562	725444187	678062624	662295548
"12719"	""	618387520	725450051	678074675	662302367
"12720"	""	618392477	725455909	678086724	662309186
"12721"	""	618397430	725461766	678098772	662316004
"12722"	""	618402382	725467622	678110819	662322822
"12723"	""	618407333	725473477	678122861	662329639
"12724"	""	618412283	725479331	678134900	662336442
"12725"	""	618417231	725485184	678146939	662343244
"12726"	""	618422178	725491029	678158977	662350044
