Contig Number	heinz reference (2.40)	heinz (aplg ill 250+300+500+2k+3k+4k+5k)	habrochaites (aplg ill 170+2k)	habrochaites (aplg ill 170+500+2k)+(scarpa 454 8k+20k)	pennellii (aplg ill 170+2k)	pennellii (aplg ill 170+500+2k)+(scarpa 454 3k+8k+20k)	arcanum (clc ill 170+2k 454 8k+20k) non default	arcanum (aplg ill 170+2k)	arcanum (aplg ill 170+500+2k)+(scarpa 454 8k+20k)
"5106"	""	492784569	566406126	737262147	488226022	638479487	253738772	516269015	687935290
"5107"	""	492821035	566450976	737277109	488270458	638519337	253768910	516310183	687951119
"5108"	""	492857495	566495812	737292071	488314892	638559157	253799046	516351316	687966927
"5109"	""	492893951	566540637	737307030	488359323	638598933	253829180	516392448	687982719
"5110"	""	492930398	566585445	737321984	488403743	638638686	253859313	516433561	687998500
"5111"	""	492966843	566630249	737336934	488448160	638678424	253889439	516474666	688014276
"5112"	""	493003285	566675037	737351883	488492577	638718148	253919563	516515765	688030047
"5113"	""	493039720	566719810	737366806	488536980	638757869	253949686	516556859	688045811
"5114"	""	493076154	566764573	737381723	488581378	638797588	253979808	516597947	688061574
"5115"	""	493112587	566809335	737396626	488625775	638837306	254009928	516639025	688077337
"5116"	""	493149016	566854095	737411527	488670163	638877020	254040044	516680096	688093087
"5117"	""	493185438	566898854	737426426	488714550	638916729	254070158	516721156	688108833
"5118"	""	493221855	566943599	737441313	488758936	638956426	254100271	516762214	688124558
"5119"	""	493258266	566988343	737456193	488803292	638996078	254130384	516803272	688140282
"5120"	""	493294677	567033085	737471072	488847625	639035730	254160488	516844324	688156001
"5121"	""	493331083	567077822	737485916	488891946	639075381	254190585	516885366	688171717
"5122"	""	493367488	567122551	737500740	488936262	639115026	254220674	516926405	688187431
"5123"	""	493403892	567167263	737515562	488980573	639154613	254250759	516967431	688203139
"5124"	""	493440287	567211969	737530375	489024882	639194197	254280844	517008456	688218839
"5125"	""	493476677	567256672	737545157	489069187	639233756	254310926	517049465	688234529
"5126"	""	493513061	567301360	737559939	489113489	639273293	254341007	517090466	688250178
"5127"	""	493549441	567346037	737574710	489157787	639312828	254371088	517131460	688265819
"5128"	""	493585808	567390710	737589466	489202083	639352341	254401168	517172451	688281447
"5129"	""	493622152	567435378	737604221	489246370	639391852	254431246	517213438	688297065
"5130"	""	493658494	567480020	737618970	489290656	639431354	254461324	517254417	688312679
"5131"	""	493694827	567524650	737633682	489334936	639470827	254491399	517295378	688328291
"5132"	""	493731154	567569257	737648392	489379212	639510290	254521461	517336335	688343902
"5133"	""	493767481	567613836	737663101	489423487	639549742	254551523	517377275	688359501
"5134"	""	493803805	567658396	737677805	489467751	639589190	254581583	517418205	688375095
"5135"	""	493840114	567702954	737692509	489512015	639628612	254611642	517459129	688390685
"5136"	""	493876421	567747511	737707211	489556278	639668024	254641694	517500040	688406271
"5137"	""	493912724	567792062	737721911	489600540	639707422	254671746	517540949	688421855
"5138"	""	493949016	567836603	737736605	489644799	639746813	254701796	517581854	688437431
"5139"	""	493985299	567881134	737751295	489689054	639786198	254731829	517622754	688453005
"5140"	""	494021574	567925661	737765981	489733302	639825564	254761857	517663652	688468568
"5141"	""	494057833	567970175	737780661	489777549	639864923	254791885	517704546	688484131
"5142"	""	494094063	568014688	737795339	489821761	639904279	254821910	517745437	688499689
"5143"	""	494130261	568059175	737810012	489865973	639943619	254851932	517786326	688515244
"5144"	""	494166456	568103652	737824676	489910177	639982950	254881953	517827213	688530791
"5145"	""	494202646	568148104	737839335	489954372	640022271	254911968	517868096	688546322
"5146"	""	494238835	568192553	737853993	489998547	640061583	254941980	517908969	688561852
"5147"	""	494275005	568237002	737868648	490042709	640100884	254971991	517949833	688577371
"5148"	""	494311174	568281449	737883296	490086867	640140185	255001994	517990695	688592888
"5149"	""	494347333	568325881	737897920	490131017	640179483	255031987	518031540	688608396
"5150"	""	494383492	568370312	737912541	490175166	640218777	255061979	518072375	688623903
"5151"	""	494419651	568414738	737927147	490219315	640258070	255091968	518113210	688639405
"5152"	""	494455807	568459149	737941747	490263453	640297346	255121953	518154021	688654898
"5153"	""	494491953	568503555	737956336	490307586	640336611	255151938	518194831	688670377
"5154"	""	494528069	568547960	737970921	490351710	640375855	255181922	518235640	688685853
"5155"	""	494564164	568592359	737985494	490395832	640415099	255211905	518276442	688701313
"5156"	""	494600257	568636757	738000051	490439952	640454342	255241885	518317243	688716768
"5157"	""	494636334	568681127	738014608	490484067	640493577	255271862	518358034	688732222
"5158"	""	494672386	568725495	738029158	490528163	640532806	255301835	518398820	688747671
"5159"	""	494708426	568769859	738043699	490572249	640572027	255331808	518439598	688763112
"5160"	""	494744465	568814210	738058236	490616325	640611234	255361779	518480367	688778536
"5161"	""	494780500	568858557	738072766	490660394	640650418	255391743	518521129	688793948
"5162"	""	494816530	568902902	738087287	490704461	640689597	255421706	518561836	688809356
"5163"	""	494852551	568947234	738101808	490748528	640728742	255451665	518602539	688824758
"5164"	""	494888568	568991557	738116317	490792592	640767875	255481620	518643238	688840156
"5165"	""	494924584	569035851	738130810	490836655	640806996	255511573	518683936	688855552
"5166"	""	494960597	569080126	738145285	490880716	640846087	255541519	518724632	688870942
"5167"	""	494996594	569124395	738159752	490924766	640885166	255571464	518765320	688886331
"5168"	""	495032532	569168661	738174215	490968792	640924216	255601408	518805987	688901707
"5169"	""	495068464	569212903	738188677	491012816	640963243	255631352	518846605	688917070
