Contig Number	heinz reference (2.40)	heinz (aplg ill 250+300+500+2k+3k+4k+5k)	habrochaites (aplg ill 170+2k)	habrochaites (aplg ill 170+500+2k)+(scarpa 454 8k+20k)	pennellii (aplg ill 170+2k)	pennellii (aplg ill 170+500+2k)+(scarpa 454 3k+8k+20k)	arcanum (clc ill 170+2k 454 8k+20k) non default	arcanum (aplg ill 170+2k)	arcanum (aplg ill 170+500+2k)+(scarpa 454 8k+20k)
"1"	42121211	963611	990035	2330637	627722	1470620	241690	699688	1856562
"2"	75403391	1884483	1872350	4592230	1178749	2371744	461453	1383076	3326399
"3"	108390988	2779487	2654115	6642608	1707341	3204169	666624	1992570	4747316
"4"	139513298	3665835	3368646	8487151	2217857	4028977	863863	2601919	6078654
"5"	167736785	4488252	4063747	10172723	2693990	4819812	1053375	3205420	7393160
"6"	192901360	5280876	4751501	11733418	3157042	5591666	1238850	3780354	8620958
"7"	216192674	6065918	5404211	13271422	3619415	6358913	1422768	4344357	9806465
"8"	238615330	6824164	6050042	14803411	4079537	7118220	1604623	4892012	10966220
"9"	259260766	7548233	6667715	16223109	4527984	7871092	1785576	5430403	12125836
"10"	279720814	8261093	7283285	17613828	4972653	8599771	1963910	5952378	13247323
"11"	298962695	8928732	7893372	18975721	5415296	9326616	2142234	6467093	14349264
"12"	317569804	9594178	8502848	20315246	5843324	10051249	2319605	6965035	15421562
"13"	336164458	10249347	9106455	21650770	6265305	10773960	2494179	7456336	16491506
"14"	353760162	10893651	9707876	22968868	6684167	11480562	2668314	7945588	17523285
"15"	371161981	11524243	10292880	24269836	7101158	12164864	2842297	8434510	18524648
"16"	388113592	12124142	10861887	25550828	7517478	12838527	3015011	8922797	19522362
"17"	404581388	12710751	11424863	26830591	7932611	13508168	3186257	9410950	20499730
"18"	420673337	13274641	11987627	28080147	8345253	14174934	3356549	9894281	21470415
"19"	435849782	13831365	12546151	29311437	8756808	14841556	3521670	10377606	22413871
"20"	450491883	14387065	13099940	30502131	9162399	15498031	3686713	10853429	23356024
"21"	464878631	14935936	13640710	31677278	9544460	16130574	3845739	11324052	24295084
"22"	476609626	15482783	14180426	32836997	9919618	16759530	4003603	11782350	25222848
"23"	488202929	16028007	14709837	33995647	10287457	17387252	4159956	12236648	26141722
"24"	498498777	16562974	15238391	35136421	10654656	18010415	4316246	12690277	27057288
"25"	508133614	17093967	15748533	36236405	11021158	18632879	4471982	13139231	27972058
"26"	517344634	17617549	16241964	37322887	11387540	19249599	4627016	13586525	28876498
"27"	526136492	18141047	16734267	38408150	11747176	19862323	4781779	14024088	29773958
"28"	534737719	18636824	17226142	39485089	12102170	20473236	4936062	14458935	30666462
"29"	543155827	19122631	17715209	40545906	12455449	21070958	5089225	14884524	31558248
"30"	551379797	19588631	18203011	41595572	12797037	21666714	5242202	15308965	32445556
"31"	559357188	20052016	18689401	42640786	13137606	22256538	5394661	15733084	33325756
"32"	567305591	20508875	19170434	43685643	13476740	22833040	5546741	16151857	34204074
"33"	575252345	20963841	19650960	44725407	13811553	23408027	5697246	16564709	35081354
"34"	582780944	21418583	20125340	45752387	14145204	23982176	5847309	16977297	35955521
"35"	589804386	21873182	20591137	46776725	14476740	24556048	5995701	17386049	36828861
"36"	596794946	22321623	21048514	47793461	14806273	25127319	6143584	17793346	37687446
"37"	603341787	22765683	21503644	48785839	15134693	25695025	6291429	18199249	38545120
"38"	609876046	23208269	21952940	49773319	15462960	26256769	6438917	18603684	39390475
"39"	616399490	23649247	22399587	50736318	15788685	26817956	6584216	19006036	40234282
"40"	622725535	24085142	22844631	51686040	16111888	27374458	6729399	19407270	41073537
"41"	629019721	24520309	23285640	52634886	16434884	27929937	6873246	19806399	41911462
"42"	635180992	24951740	23721728	53578282	16752596	28485001	7016866	20204921	42743542
"43"	641243342	25380492	24151067	54512019	17068601	29035606	7159900	20603173	43574807
"44"	647014619	25805722	24575816	55431681	17383023	29584495	7302930	21000322	44401997
"45"	652764276	26230665	24998374	56345350	17691199	30132942	7445713	21396910	45226955
"46"	658482039	26649347	25420677	57255000	17999194	30672635	7587768	21791523	46043651
"47"	664004404	27067392	25839207	58162132	18306800	31209211	7729140	22171612	46850939
"48"	669350126	27484582	26254183	59067640	18613182	31744300	7870244	22547701	47655606
"49"	674530619	27897953	26666967	59968490	18919323	32279266	8010715	22918193	48455322
"50"	679442679	28310404	27077488	60865175	19223481	32812695	8149959	23288521	49250450
"51"	683748052	28722245	27487702	61745506	19525997	33341829	8288488	23658048	50036075
"52"	687864481	29132241	27894713	62623838	19828040	33870421	8426860	24026624	50819052
"53"	691895279	29538627	28297477	63501729	20129903	34398412	8564780	24393645	51601790
"54"	695827221	29943864	28698988	64366557	20431493	34925432	8701908	24755868	52382642
"55"	699221172	30347750	29100285	65230009	20732711	35452333	8838927	25116332	53158876
"56"	702323797	30745628	29501422	66092395	21033708	35977481	8974977	25476630	53934695
"57"	705364925	31138160	29902096	66953224	21334622	36501530	9110901	25836697	54702313
"58"	708327703	31529752	30302592	67808570	21634723	37024207	9246812	26195682	55465213
"59"	711053544	31920404	30702901	68660640	21934722	37535981	9382102	26552689	56227254
"60"	713775545	32309941	31101749	69510510	22234147	38044860	9516920	26908817	56982534
"61"	716409572	32698288	31499772	70354031	22533213	38551766	9651344	27264464	57719852
"62"	718970661	33081930	31896544	71189860	22830929	39057825	9785708	27619685	58456081
"63"	721518063	33465392	32291550	72023275	23126597	39560065	9919842	27974489	59189873
"64"	724029552	33848427	32686044	72851993	23418982	40060335	10053602	28323136	59921999
"65"	726537286	34227442	33078068	73680022	23709771	40560522	10187168	28671767	60646835
"66"	729017021	34605857	33469492	74497250	24000245	41058951	10319830	29018456	61369517
"67"	731422562	34983221	33857917	75314121	24290343	41555361	10452375	29364844	62090965
"68"	733614511	35358194	34245584	76127759	24579523	42051423	10584612	29711230	62811390
"69"	735718471	35732821	34631824	76936638	24867367	42539042	10715891	30054933	63524947
"70"	737816637	36097032	35015202	77735444	25155015	43026615	10847138	30397860	64233539
"71"	739841390	36461171	35398393	78533030	25442471	43510767	10978294	30739701	64937929
"72"	741814238	36824239	35780203	79328549	25729257	43991922	11107486	31079734	65640965
"73"	743779923	37182378	36161081	80118614	26016036	44471975	11235596	31418656	66343126
"74"	745583326	37538365	36540543	80907001	26301490	44951900	11362745	31754690	67043671
"75"	747305923	37889045	36918250	81691905	26586362	45429387	11489277	32090397	67742681
"76"	749003137	38239262	37295530	82475621	26869312	45905520	11615609	32424890	68433703
"77"	750610636	38587531	37671648	83251650	27150641	46381392	11741755	32758994	69120448
"78"	752189971	38934505	38046914	84023049	27431632	46856117	11867631	33092569	69806117
"79"	753679332	39280231	38422078	84786440	27712213	47330582	11993416	33423909	70491494
"80"	755087959	39625191	38797197	85546577	27992222	47804184	12118933	33755069	71175912
"81"	756382047	39969848	39169967	86305501	28271877	48274643	12244045	34084770	71859634
"82"	757669774	40312365	39540891	87063670	28550705	48744430	12368770	34412178	72543022
"83"	758953508	40653755	39911113	87818463	28829496	49214122	12493197	34738483	73225298
"84"	760156971	40994697	40279213	88570534	29108001	49682102	12617559	35063426	73907359
"85"	761360229	41334840	40645830	89320823	29386494	50150044	12741107	35387068	74585062
"86"	762467081	41673168	41011055	90070809	29664768	50617463	12863427	35709416	75253612
"87"	763285866	42010604	41376134	90816838	29942838	51082588	12985425	36029141	75922037
"88"	764083628	42347337	41737981	91560998	30220137	51544961	13107209	36347896	76590118
"89"	764774517	42684053	42099668	92304935	30495287	52005844	13228976	36665615	77253053
"90"	765380184	43019800	42461262	93047982	30769548	52466325	13350278	36982220	77914105
"91"	765941387	43355288	42822767	93789966	31043658	52921220	13471491	37297350	78574353
"92"	766311493	43689468	43182964	94530587	31317574	53373949	13592207	37611866	79233054
"93"	766662098	44021850	43540337	95268900	31591013	53822503	13712717	37924817	79889516
"94"	766999280	44353832	43897663	96004903	31864046	54267983	13832966	38236105	80544291
"95"	767287967	44685480	44248824	96738063	32136715	54712869	13953018	38545567	81198266
"96"	767573858	45014698	44599977	97471198	32408826	55156968	14072768	38854434	81849524
"97"	767777000	45343719	44949903	98202200	32680088	55601029	14192320	39162710	82500182
"98"	767977883	45671960	45299742	98931832	32950538	56044159	14310691	39469974	83150691
"99"	768159468	46000111	45649213	99660354	33220936	56483378	14428977	39776098	83800985
"100"	768335793	46326788	45997781	100388288	33491245	56922097	14546332	40081909	84447156
"101"	768479055	46652224	46345086	101114002	33760850	57358279	14663645	40385489	85092054
"102"	768587197	46977606	46692160	101830995	34030143	57793696	14780930	40688474	85735088
"103"	768690370	47302125	47038755	102541750	34298789	58228833	14897817	40989828	86377292
"104"	768791667	47626183	47384854	103249288	34567008	58663852	15014272	41288867	87014566
"105"	768890387	47948220	47730944	103952090	34835124	59095788	15130434	41587817	87648737
"106"	768982956	48270154	48074709	104652845	35102772	59525159	15246355	41886635	88280259
"107"	769072481	48591283	48418103	105347563	35370234	59948241	15361884	42184674	88910945
"108"	769161132	48911826	48760889	106040834	35636563	60370222	15477270	42481392	89540103
"109"	769241041	49232261	49103071	106732714	35902762	60790434	15592533	42776964	90165495
"110"	769319042	49552365	49443736	107423923	36167941	61209388	15707505	43071225	90786551
"111"	769393534	49870555	49783232	108110392	36431963	61628250	15822397	43363860	91407094
"112"	769467922	50188157	50122605	108796549	36695147	62046643	15936736	43656114	92026909
"113"	769537160	50504987	50459958	109479766	36958164	62464771	16051066	43947196	92641018
"114"	769605077	50821783	50796912	110160907	37220494	62882726	16165202	44238269	93254386
"115"	769667324	51138006	51133802	110840740	37482325	63299717	16279278	44528713	93866971
"116"	769727989	51453878	51470416	111518278	37744017	63716201	16393231	44818901	94477697
"117"	769786334	51769429	51805640	112194755	38005118	64131213	16506936	45108549	95087191
"118"	769843400	52084951	52140718	112868584	38266155	64544304	16620604	45397821	95696308
"119"	769897461	52398349	52475208	113541026	38526410	64956997	16734000	45685953	96302940
"120"	769950615	52711452	52809110	114213181	38786553	65369639	16847329	45974074	96908866
"121"	770000342	53023901	53142954	114883064	39046542	65781765	16960657	46261837	97509338
"122"	770049599	53335916	53474801	115550526	39306425	66193177	17073942	46549386	98105115
"123"	770098324	53645755	53806622	116215253	39566010	66603787	17187053	46836847	98699661
"124"	770145231	53954564	54138411	116879543	39825070	67010294	17300157	47124021	99290109
"125"	770189053	54263242	54469102	117539894	40082239	67413623	17412896	47410425	99880442
"126"	770230486	54570268	54799303	118199520	40338295	67813173	17525166	47696352	100468610
"127"	770270729	54875717	55127888	118857838	40592502	68212159	17637243	47981593	101053094
"128"	770307133	55180549	55456351	119516013	40845154	68607995	17749164	48266033	101636824
"129"	770343335	55484218	55784071	120174057	41097799	69003115	17860598	48550248	102220373
"130"	770375419	55787474	56111700	120831590	41350323	69396400	17971928	48833028	102802416
"131"	770405774	56090420	56438912	121488034	41602321	69789279	18083243	49115697	103382685
"132"	770435659	56392086	56765578	122143252	41853674	70179365	18194484	49397757	103961261
"133"	770465317	56693492	57091957	122796632	42104518	70569409	18305704	49678677	104539232
"134"	770494897	56993631	57416485	123444497	42354141	70959245	18416714	49959489	105112893
"135"	770523359	57293088	57740952	124092106	42603715	71348025	18527634	50240261	105685703
"136"	770551554	57591707	58060442	124739332	42853145	71736215	18637818	50520608	106253828
"137"	770579343	57889895	58379570	125385546	43101609	72123928	18747687	50798261	106819531
"138"	770606859	58186843	58698530	126031471	43349978	72510900	18857504	51075706	107384433
"139"	770633899	58482799	59017357	126674467	43598078	72897836	18967270	51352284	107948579
"140"	770660796	58778592	59335717	127315667	43845348	73284763	19076460	51628665	108511754
"141"	770687598	59073934	59653551	127956281	44091943	73669607	19185477	51904079	109074805
"142"	770713861	59367852	59971326	128596582	44338299	74054072	19294320	52178747	109637430
"143"	770739641	59661590	60288825	129236367	44583759	74436806	19402905	52452909	110199077
"144"	770765250	59954006	60605881	129874269	44829194	74819052	19511098	52726712	110758188
"145"	770790288	60245880	60921814	130508790	45074355	75201113	19619276	53000211	111310788
"146"	770814452	60537342	61235957	131137987	45318287	75583138	19727247	53273682	111860547
"147"	770838176	60828475	61549391	131762326	45561752	75964886	19835114	53546123	112409906
"148"	770861653	61119548	61861776	132382932	45804844	76346257	19942943	53818062	112955995
"149"	770884322	61407173	62174132	133000789	46047593	76727246	20050296	54089435	113501263
"150"	770906561	61694587	62486406	133618524	46289869	77107815	20157577	54360371	114043599
"151"	770928766	61980967	62797744	134233780	46531968	77488110	20264564	54631094	114583855
"152"	770950024	62265937	63108728	134848288	46773525	77867707	20371162	54901568	115124055
"153"	770970442	62548798	63419425	135458815	47012795	78247226	20477401	55171671	115664129
"154"	770990815	62831441	63729829	136063999	47251932	78625201	20583533	55441669	116203509
"155"	771010886	63113292	64039426	136667195	47490910	79003163	20689608	55709636	116742068
"156"	771030900	63393822	64348942	137268143	47729865	79381043	20795497	55977596	117280583
"157"	771049706	63674099	64656962	137868411	47968416	79758664	20901169	56245113	117813063
"158"	771068106	63954251	64963963	138468610	48206851	80135634	21005925	56512326	118344613
"159"	771086222	64233806	65270261	139067837	48444132	80512271	21110649	56779501	118874787
"160"	771104019	64512692	65575130	139665454	48681320	80888606	21215243	57046004	119404175
"161"	771121651	64790935	65878282	140260164	48918483	81264856	21319821	57312365	119932826
"162"	771139277	65068706	66181411	140853597	49154903	81640014	21424386	57578373	120460720
"163"	771156675	65344819	66484389	141446010	49391026	82014853	21528721	57843138	120988146
"164"	771173980	65620523	66787234	142034681	49626853	82389026	21632893	58107826	121513213
"165"	771191027	65895899	67089086	142623269	49862146	82762774	21737034	58371991	122038133
"166"	771207976	66171248	67390823	143209003	50096425	83134472	21841161	58635931	122561425
"167"	771224659	66445583	67691944	143794564	50330440	83505495	21944942	58899773	123083131
"168"	771241159	66719651	67992875	144378020	50564044	83875365	22048708	59162825	123604430
"169"	771257546	66993685	68293068	144960894	50797604	84244721	22152263	59425800	124125242
"170"	771273514	67266580	68593025	145543042	51031159	84613190	22255745	59688726	124644900
"171"	771289434	67538759	68892565	146123767	51264658	84981448	22359096	59951540	125161084
"172"	771305149	67809109	69192027	146704028	51497783	85349287	22462413	60213218	125676875
"173"	771320187	68078690	69491220	147283518	51730481	85715789	22565603	60474357	126191590
"174"	771335066	68347923	69790029	147863000	51962919	86082171	22668712	60734420	126706062
"175"	771349570	68615931	70088639	148442466	52195245	86447964	22771620	60994202	127218238
"176"	771363837	68883877	70387063	149021388	52427054	86812582	22874456	61253845	127729423
"177"	771378078	69151659	70685046	149600146	52658419	87176567	22977110	61513323	128239511
"178"	771392302	69419431	70982211	150178889	52889555	87539839	23079499	61771812	128749518
"179"	771406515	69687131	71279128	150755424	53120245	87902931	23181499	62030143	129258711
"180"	771420703	69953377	71575543	151327395	53350882	88264512	23283280	62287770	129766481
"181"	771434883	70219012	71871039	151897484	53581276	88625792	23384796	62545368	130274002
"182"	771448991	70484589	72166204	152465576	53811458	88985902	23486284	62802853	130780450
"183"	771462812	70750024	72460452	153030516	54041451	89345983	23587651	63059623	131286347
"184"	771476245	71014060	72754649	153593601	54271386	89705823	23688936	63315919	131791237
"185"	771489466	71278046	73048778	154149314	54500681	90065546	23789887	63572026	132295124
"186"	771502604	71541673	73342755	154703992	54729684	90424429	23890810	63826797	132797477
"187"	771515668	71805194	73636538	155255220	54958603	90782440	23991622	64080179	133299367
"188"	771528639	72068305	73929737	155805108	55187371	91140103	24092305	64333372	133800814
"189"	771541436	72331355	74221572	156353887	55415844	91496423	24192892	64586238	134302243
"190"	771554065	72593893	74512961	156902557	55644279	91851417	24293473	64838746	134802785
"191"	771566560	72855993	74804258	157450163	55872336	92205851	24393822	65091210	135303166
"192"	771578995	73117275	75093921	157996431	56100294	92560133	24494145	65343462	135802730
"193"	771591404	73378492	75383104	158541900	56327944	92913629	24594444	65595710	136302232
"194"	771603773	73637352	75671027	159086319	56555190	93266936	24694719	65847656	136800561
"195"	771616117	73896023	75958586	159629316	56782344	93619542	24794935	66098975	137297422
"196"	771628359	74154692	76245673	160172082	57009476	93972079	24895133	66349619	137793602
"197"	771640402	74412498	76532565	160712662	57236360	94324286	24995295	66599029	138289715
"198"	771652414	74669978	76819049	161252925	57461948	94676339	25095417	66847811	138783791
"199"	771664256	74926308	77104029	161793174	57687284	95027822	25195360	67096198	139276188
"200"	771675981	75182040	77388709	162333308	57911773	95378793	25295147	67344385	139767716
"201"	771687574	75437255	77672792	162872055	58136004	95729068	25394755	67592072	140258794
"202"	771699143	75691870	77956730	163410337	58359781	96078551	25494308	67839742	140748798
"203"	771710632	75946334	78239356	163948542	58582870	96427499	25593732	68087366	141238728
"204"	771721926	76199614	78521705	164483982	58805376	96776140	25693127	68334774	141724620
"205"	771732831	76452663	78804022	165019270	59026986	97124354	25792288	68582180	142210273
"206"	771743589	76705058	79086308	165554501	59248529	97472427	25891304	68829556	142694889
"207"	771754322	76957325	79368517	166087495	59469551	97819960	25990192	69076909	143179467
"208"	771764993	77208169	79650392	166620455	59690480	98165810	26089037	69324213	143663062
"209"	771775581	77458632	79932258	167152738	59910665	98510148	26187815	69571119	144145003
"210"	771786143	77709038	80213926	167683610	60130799	98854477	26286452	69817703	144626823
"211"	771796703	77959398	80495108	168213504	60350722	99198643	26384658	70064248	145107521
"212"	771807141	78209591	80774828	168742535	60570528	99542186	26482596	70310626	145587340
"213"	771817387	78459118	81053480	169271367	60790026	99885728	26580496	70556202	146066609
"214"	771827289	78708254	81331932	169798950	61009473	100229100	26678384	70800678	146545244
"215"	771837131	78957365	81609090	170325748	61228833	100571568	26776197	71045048	147022382
"216"	771846718	79205770	81886156	170852033	61447768	100913843	26873860	71289346	147496941
"217"	771856294	79454075	82163138	171377031	61666597	101256038	26971507	71533592	147969464
"218"	771865829	79701914	82440063	171900564	61885351	101597878	27068972	71777818	148440197
"219"	771875337	79949611	82716655	172423917	62103968	101939434	27166429	72022037	148910882
"220"	771884799	80197121	82992841	172944957	62322540	102280636	27263818	72265727	149380688
"221"	771894232	80444475	83268804	173465204	62540821	102621590	27361107	72508551	149850257
"222"	771903642	80691615	83544424	173984202	62758763	102962498	27458357	72751170	150319695
"223"	771912894	80937661	83819635	174502893	62976545	103301470	27555410	72993400	150788208
"224"	771922049	81183333	84091819	175021294	63194168	103640404	27652440	73235476	151255241
"225"	771931127	81428827	84363954	175535005	63410965	103979000	27749455	73476627	151721562
"226"	771940189	81673446	84636057	176048441	63626508	104317378	27846306	73717624	152187693
"227"	771949193	81917394	84907624	176561642	63841883	104655634	27943147	73958364	152652818
"228"	771958034	82161161	85179162	177073804	64057253	104993824	28039785	74199010	153117003
"229"	771966859	82404893	85450629	177585902	64272338	105331524	28136077	74439546	153580467
"230"	771975519	82648591	85721375	178097772	64487150	105667984	28232255	74680063	154043610
"231"	771984070	82892189	85992098	178608982	64701600	106004093	28328259	74920489	154504600
"232"	771992611	83135726	86262553	179118795	64915971	106340171	28423939	75160914	154965126
"233"	772001138	83378719	86532486	179627362	65130333	106676065	28519574	75400651	155424198
"234"	772009604	83621558	86801209	180134726	65344254	107010730	28615093	75639892	155882631
"235"	772017904	83864028	87069276	180641429	65558148	107345220	28710577	75878947	156340144
"236"	772026128	84106267	87337321	181147676	65771837	107678798	28806060	76117873	156796995
"237"	772034126	84348106	87605080	181651629	65985499	108012303	28901349	76356702	157253313
"238"	772042097	84589882	87872287	182154993	66199062	108344750	28996457	76595253	157708263
"239"	772050061	84831199	88139364	182658328	66412554	108676341	29091520	76832587	158162720
"240"	772057879	85072509	88405280	183159271	66625954	109007168	29186511	77069319	158615358
"241"	772065612	85313462	88670792	183658839	66839283	109337265	29281419	77305852	159067556
"242"	772073324	85553131	88936187	184157839	67052611	109666180	29376324	77541693	159519490
"243"	772081022	85792345	89201021	184655623	67265871	109995063	29470973	77777149	159967970
"244"	772088708	86031358	89465233	185152927	67478680	110323899	29565541	78012514	160416168
"245"	772096385	86270320	89729440	185649224	67691434	110651665	29660021	78247725	160863942
"246"	772103995	86509244	89993065	186144564	67904013	110979181	29754469	78482577	161311313
"247"	772111579	86747648	90256461	186638558	68116589	111306635	29848669	78717264	161758607
"248"	772119095	86985863	90519718	187131579	68329033	111633142	29942785	78951792	162205056
"249"	772126591	87223821	90782753	187623306	68541317	111959504	30036827	79186226	162650860
"250"	772134084	87461751	91045443	188114687	68753427	112285443	30130727	79420361	163096573
"251"	772141574	87699138	91308085	188603790	68965455	112611267	30224436	79654400	163540283
"252"	772149023	87935600	91570495	189092822	69176139	112937021	30318121	79888324	163983742
"253"	772156470	88171882	91832194	189581421	69386677	113262767	30411628	80120258	164426406
"254"	772163898	88407393	92093592	190069472	69597128	113588221	30505019	80352161	164868835
"255"	772171271	88642774	92354823	190557504	69807525	113913547	30598328	80584058	165310811
"256"	772178633	88877722	92614620	191044945	70017763	114238087	30691463	80815768	165750892
"257"	772185991	89112592	92874303	191531977	70227430	114562166	30784541	81047437	166190749
"258"	772193343	89347426	93133934	192018436	70437076	114885788	30877617	81278554	166630167
"259"	772200606	89582135	93392914	192503939	70646679	115209279	30970557	81508957	167068823
"260"	772207856	89816368	93651344	192988648	70856208	115532521	31063480	81739289	167506917
"261"	772215097	90050568	93909639	193472951	71065522	115855724	31156234	81969307	167944480
"262"	772222323	90284473	94167600	193956794	71274738	116178641	31248786	82198686	168381246
"263"	772229486	90518284	94425430	194439101	71483851	116501513	31341322	82427788	168817842
"264"	772236616	90751978	94683121	194921405	71692908	116824279	31433747	82656747	169254237
"265"	772243745	90984575	94940314	195403703	71901864	117145998	31526151	82885684	169690485
"266"	772250809	91216208	95197195	195885721	72110458	117467461	31618415	83114523	170126319
"267"	772257865	91447542	95453727	196367598	72318526	117788565	31710668	83342898	170562080
"268"	772264921	91678320	95709294	196848565	72526591	118109117	31802796	83571179	170997515
"269"	772271928	91908622	95964835	197328772	72733742	118428790	31894815	83798998	171432717
"270"	772278894	92138495	96218734	197804911	72940848	118746408	31986759	84026725	171865584
"271"	772285825	92368042	96472343	198280698	73147911	119063832	32078426	84253448	172298295
"272"	772292710	92597547	96724885	198756014	73353697	119381203	32170046	84479880	172730937
"273"	772299587	92826944	96976860	199230740	73559237	119698173	32261663	84705881	173163384
"274"	772306414	93055851	97228756	199705083	73764574	120014919	32353108	84931743	173594502
"275"	772313229	93284434	97479956	200178715	73969591	120330578	32444374	85157596	174023321
"276"	772320035	93512919	97730991	200651145	74173857	120645668	32535629	85383138	174451674
"277"	772326786	93740888	97981721	201122700	74378020	120960413	32626675	85608631	174879985
"278"	772333500	93967769	98232446	201593802	74581979	121274692	32717434	85833946	175307985
"279"	772340186	94194357	98483144	202064849	74785578	121588657	32808104	86058837	175735625
"280"	772346811	94420630	98733668	202535797	74988551	121902601	32898523	86283377	176162366
"281"	772353414	94646630	98983134	203005547	75191426	122215939	32988937	86507839	176588688
"282"	772360016	94872542	99232089	203475284	75394299	122528878	33079265	86732102	177014700
"283"	772366576	95097886	99480982	203944067	75597040	122841759	33169470	86955945	177439041
"284"	772373125	95323226	99729738	204412205	75799767	123152119	33259626	87179166	177862591
"285"	772379662	95547919	99978418	204880317	76002280	123462262	33349673	87402383	178285979
"286"	772386183	95772583	100226936	205347498	76204688	123771935	33439635	87625340	178708497
"287"	772392665	95996767	100475072	205812198	76407053	124081596	33529514	87848066	179130347
"288"	772399114	96220583	100722492	206275856	76609416	124390338	33619386	88070750	179552104
"289"	772405559	96444185	100969901	206738911	76811309	124698512	33709128	88292233	179973570
"290"	772411907	96667164	101217254	207200949	77013144	125006573	33798732	88513527	180394603
"291"	772418254	96889228	101462988	207661608	77214942	125314179	33888279	88734767	180815399
"292"	772424583	97110785	101708591	208121136	77416289	125621633	33977692	88955913	181235845
"293"	772430901	97332309	101953971	208579441	77617428	125928864	34067026	89176786	181656215
"294"	772437206	97553681	102199152	209037173	77817012	126235247	34156291	89397511	182076148
"295"	772443510	97774151	102443695	209490972	78015908	126541629	34245482	89618071	182495656
"296"	772449779	97994579	102688027	209942735	78214725	126847770	34334559	89838433	182913239
"297"	772456030	98214908	102932177	210393586	78413503	127153741	34423627	90058759	183329876
"298"	772462275	98434926	103175660	210844098	78611850	127459500	34512686	90278452	183746148
"299"	772468506	98654924	103419071	211294100	78810145	127765011	34601728	90498112	184161297
"300"	772474722	98874797	103662346	211742420	79008422	128070405	34690604	90717648	184576270
"301"	772480932	99094645	103905551	212189670	79206605	128375437	34779402	90937135	184991163
"302"	772487122	99314311	104148663	212636726	79404574	128679870	34868006	91156077	185405481
"303"	772493288	99533726	104391580	213083742	79602542	128984176	34956510	91374987	185819766
"304"	772499441	99753096	104634373	213530099	79800171	129288476	35044901	91593659	186233585
"305"	772505575	99972407	104877138	213975688	79997570	129591741	35133159	91812318	186644478
"306"	772511695	100191556	105119786	214420636	80194656	129894868	35221399	92030972	187055262
"307"	772517814	100410208	105362429	214863828	80391465	130197791	35309532	92249616	187465747
"308"	772523928	100628715	105604988	215306644	80588025	130499654	35397602	92467724	187876206
"309"	772530034	100847170	105847187	215748644	80784425	130801507	35485642	92685633	188286011
"310"	772536138	101065567	106088904	216190018	80980687	131103279	35573311	92903414	188694851
"311"	772542239	101283783	106330234	216631275	81176718	131404869	35660578	93121090	189102432
"312"	772548333	101501954	106571364	217071839	81372736	131705866	35747823	93338433	189507103
"313"	772554392	101719885	106812400	217512210	81568574	132006780	35835006	93555523	189911579
"314"	772560421	101937769	107053279	217950678	81764346	132307244	35922083	93772513	190315346
"315"	772566403	102155438	107294127	218388663	81959804	132607505	36009060	93989263	190718892
"316"	772572379	102372463	107534751	218826034	82155225	132907736	36096027	94205933	191120693
"317"	772578343	102589023	107773818	219262548	82350435	133207837	36182894	94422602	191522256
"318"	772584306	102805436	108012650	219698578	82545368	133507840	36269740	94639042	191922984
"319"	772590261	103021283	108250704	220133436	82739732	133807748	36356478	94854965	192323297
"320"	772596214	103237058	108488649	220568037	82934000	134107154	36443097	95070877	192722784
"321"	772602162	103452594	108726540	221002451	83128033	134406513	36529486	95286698	193122259
"322"	772608107	103668071	108964101	221435308	83321337	134705637	36615861	95502169	193520742
"323"	772614041	103883385	109201642	221868004	83514481	135004238	36702094	95717627	193919218
"324"	772619966	104098338	109439141	222299869	83706994	135302763	36788212	95933041	194317644
"325"	772625876	104313125	109675583	222731316	83899499	135600590	36874260	96148130	194715520
"326"	772631779	104527816	109911563	223161924	84091971	135898134	36960050	96363095	195113227
"327"	772637679	104742470	110147061	223591268	84284414	136195674	37045757	96576970	195510766
"328"	772643528	104957120	110382427	224020564	84476554	136492524	37131437	96790756	195907915
"329"	772649372	105171370	110617620	224449133	84668584	136789216	37217019	97004223	196304962
"330"	772655213	105384646	110852353	224876513	84860537	137084957	37302500	97217543	196701661
"331"	772661047	105597890	111086800	225303570	85052430	137380452	37387944	97430612	197098360
"332"	772666851	105810951	111321159	225729166	85244146	137675775	37473349	97643376	197494399
"333"	772672623	106023612	111555257	226154033	85435796	137970934	37558749	97855862	197890334
"334"	772678393	106236118	111789256	226578870	85627351	138265426	37644027	98068150	198285994
"335"	772684154	106448368	112023045	227002735	85818886	138559596	37729247	98280341	198681630
"336"	772689908	106659229	112256775	227425910	86010409	138853348	37814382	98492440	199076310
"337"	772695648	106869528	112490496	227848578	86201615	139146950	37899506	98703903	199469430
"338"	772701385	107079755	112724062	228269841	86392805	139439747	37984277	98915305	199861037
"339"	772707108	107289690	112957571	228690477	86583982	139732512	38068964	99126501	200252230
"340"	772712820	107499498	113189927	229110844	86775135	140024897	38153529	99337568	200643249
"341"	772718526	107709027	113422006	229531156	86966252	140317080	38237986	99548570	201033778
"342"	772724219	107918476	113653913	229950610	87157362	140609054	38322427	99759440	201424223
"343"	772729898	108127868	113885449	230369622	87348452	140900932	38406784	99970279	201814563
"344"	772735559	108337102	114116836	230788576	87539371	141192674	38491103	100181115	202204878
